Model,MAE_L,RMSE_L,R2
Ridge Regression,148.60184467479098,171.32577394788063,0.42456817109457035
Random Forest,230.81286001984543,260.6498936159795,-0.3318753452598131
Training Median Baseline,319.5907407407055,386.0509884844874,-1.9217147512237682
